codigo_iniciativa;iniciativa;anexo;valor_da_iniciativa
9445683;Plano de Ação em Saúde do Rio Doce;VIII;220162500,0
9445703;Implementação e posterior manutenção, pelo ESTADO DE MINAS GERAIS, de unidade de conservação de proteção integral no bioma Mata Atlântica, a fim de contribuir para a preservação do Rio Santo Antônio e para a recuperação dos estoques pesqueiros do rio Doce  ;X;100000000,0
9445718;Fortalecimento do atendimento da rede socioassistencial com execução de um _x000D_plano de melhorias, que inclua, preferencialmente, construção e reforma de unidades do Centro de Referência de Assistência Social (CRAS) e Centro de Referência _x000D_Especializado de Assistência Social (CREAS), contratação de equipe técnica e _x000D_aquisição de material de consumo de acordo com detalhamento a ser construído _x000D_prioritariamente.;XII;280999999,9955892
9445719;Recuperação da vegetação nativa na Bacia Hidrográfica do Rio Doce, com prioridade às áreas de mata ripária, por meio de ações de reflorestamento, pagamento de serviços ambientais, mapeamento do uso de solo e investimento tecnológico para monitoramento da vegetação nativa e sua recuperação.;XII;1026817301,85
9445721;Resposta a Enchentes ;XVIII;250000000,0
9445763;Construção e implantação de melhorias rodoviárias, operação e manutenção das rodovias do lote Ouro Preto – Mariana ;XIII;1702476148,74
9452379;Ampliação e melhoria na pavimentação, manutenção e recuperação funcional da _x000D_infraestrutura viária.;XII;466173769,15
9456605;"Fortalecimento da política pública de gestão do manejo da fauna silvestre, de _x000D_acordo com mapeamento de necessidades a ser detalhado, a partir de ações como _x000D_da estruturação e custeio dos serviços prestados pelos Centros de Triagem e Reabilitação de Animais Silvestres (Cetas) que atendam à Bacia Hidrográfica do Rio Doce; contratação de serviços veterinários  especializados; construção de viveiros em áreas de parceiros para a reabilitação e conservação da fauna.";XII;19501138,12
9456606;"Consolidação de unidades de conservação estaduais na Bacia Hidrográfica do Rio Doce, a partir do investimento e custeio de suas estruturas e serviços prestados, de _x000D_acordo com seus objetivos de criação; criação, se necessário, de nova(s) unidade(s) _x000D_de conservação na Bacia Hidrográfica do Rio Doce de acordo com mapeamento de _x000D_áreas prioritárias para conservação; realização de atividades de prevenção e combate _x000D_a incêndios e regularização fundiária das unidades de conservação.";XII;781013478,42
9456612;"Revitalização aquática da Bacia Hidrográfica do Rio Doce, a partir do mapeamento _x000D_de áreas estratégicas para revitalização e conservação da fauna e flora aquáticas, em _x000D_especial áreas de cabeceiras, tributários e rotas de piracema, e execução de ações _x000D_como zoneamento pesqueiro; desassoreamento; reconformação de calhas de rios; _x000D_renaturalização de leitos de rios; reintrodução de espécies aquáticas ameaçadas; _x000D_educação ambiental, dentre outras ações baseadas na natureza para a revitalização _x000D_intracalha do Rio Doce e seus tributários._x000D_";XII;447461489,31
9456614;Aquisição de materiais, equipamentos e capacitações para modernização das estruturas de fiscalização ambiental e serviços de inteligência em fiscalização da _x000D_Secretaria Estadual do Meio Ambiente de Minas Gerais na Bacia Hidrográfica do Rio _x000D_Doce.;XII;23690592,44
9456616;Atualização e realização de novos estudos de Zoneamento Ambiental Produtivo em sub-bacias hidrográficas da bacia do rio Doce.;XII;9500000,0
9456621;Oferta de cursos de qualificação profissional a partir de estudo de demandas do mercado de trabalho.;XII;30351000,0
9456622;Oferta de capacitações continuadas em gestão para os profissionais do Sistema Único da Assistência Social (SUAS), além do apoio na elaboração e execução do _x000D_Plano Municipal de Assistência Social.;XII;53999999,9961881
9456627;Adequação e equipagem de Bases de Segurança Pública (PMMG, CBMMG e _x000D_PCMG) no Município de Mariana/MG.;XII;20044942,060000002
9468055;Suporte gerencial, administrativo, tecnológico e de comhnicação social à implementação das iniciativas.;XII;215762851,11
9468057;Suporte gerencial, administrativo, tecnológico e de comunicação social à implementação das iniciativas ambientais.;XII;269884659,2
9470658;Promoção de regularização fundiária rural.;XII;3629681,6
9473170;Melhoria na segurança viária e no monitoramento da qualidade das rodovias.;XII;3426230,8499999996
9473171;Promoção de regularização fundiária.;XII;78000000,0
9474703;Adequação de infraestrutura em áreas rurais.;XII;90000000,0
9480259;Fomento ao associativismo e ao cooperativismo a partir de assessorias às organizações, podendo incluir aprimoramento da gestão, qualificação de produtos e _x000D_serviços, apoio na comunicação e marketing, mapeamento de necessidades de _x000D_infraestrutura e fornecimento de equipamentos e insumos.;XII;55000000,0
9480440;Ampliação, modernização e equipagem da rede meteorológica, rede hidrológica e Sala de Situação para eventos hidrológicos críticos, de forma a aprimorar a _x000D_capacidade do Sistema Estadual de Meio Ambiente (SISEMA) de acompanhar a _x000D_recuperação da Bacia Hidrográfica do Rio Doce vis-à-vis riscos decorrentes de _x000D_eventos climáticos extremos.;XII;150000000,0
9480692;Desenvolvimento e manutenção de sistemas de tecnologia e informação do Sistema Estadual do Meio Ambiente (SISEMA) de forma a apoiar os investimentos ambientais na Bacia Hidrográfica do Rio Doce.;XII;33000000,0
9480693;Melhoria na capacidade estadual fiscalizatória de barragens nas estruturas localizadas na extensão territorial da Bacia Hidrográfica do Rio Doce: aquisição de equipamentos físicos e tecnológicos, contratação de serviços de consultoria.;XII;5000000,0
9484149;Restruturação fisica e ampliação tecnológica dos laboratórios para atendimento a segurança alimentar ;X;21000000,0
9484152;Arranjo Produtivo Local Projeto Apicultura ;X;3500000,0
9484158;Circuitos De Comercialização E Mercados Institucionais ;X;2048623,4
9484244;"Projeto ""Diga sim ao SIM!"" ";X;10716558,78
9493230;Limpeza de vias e de infraestrutura pública ;XVIII;12291807,84
9493391;Disponibilização de acesso à água.;XII;16609578,82
9494511;Fortalecimento da infraestrutura e logística das unidades das forças de segurança.;XII;42400000,0
9498925;Oferta de serviços de assistência técnica e extensão rural (metodologia ISA/PASEA), visando à produção de alimentos e estímulo à comercialização e adequação socioeconômica e ambiental de propriedades rurais. ;XII;124000000,0
9498928;Criação de fundo de disponibilização de crédito para recuperação econômica de pequenas, médias e grandes empresas dos municípios atingidos, além de fundo _x000D_garantidor para facilitar o acesso a essa linha de crédito.;XII;350000000,0
9499189;Desenvolvimento e implantação de soluções técnicas para desafios de conservação da biodiversidade da Bacia Hidrográfica do Rio Doce, como _x000D_monitoramento e reintrodução de espécies-alvo/ameaçadas, conservação em _x000D_cativeiro e reintrodução de espécies, dentre outras possíveis soluções.;XII;53537119,67
9501886;Reforma, modernização, equipagem e melhorias logísticas das estruturas físicas e dos serviços da Administração Pública - DENTRO DA BACIA;XII;5000000,0
9501917;Ampliação e melhoria na pavimentação, manutenção e recuperação funcional da infraestrutura viária - FORA DA BACIA.;XII;7500000,0
