ano_de_exercicio;mes_descritivo;unidade_orcamentaria_codigo;unidade_orcamentaria_nome;classificacao_receita_formatado;classificacao_receita_descricao;fonte_recurso_codigo;fonte_recurso_descricao;valor_previsto_inicial;valor_previsto_atualizado
2024;Dezembro;9999;EMG - ADMINISTRACAO DIRETA;1321.01.0.1.01.000;REMUNERACAO DEPOSITOS BANCARIOS - PRINC.;80;RECURSOS DO ACORDO DE REPACTUACAO DO RIO DOCE;0;4700000
2024;Dezembro;9999;EMG - ADMINISTRACAO DIRETA;2999.99.0.1.04.000;DEMAIS REC. CAPITAL - PRINC. - ROMPIMENTO DA BARRAGEM DE FUNDAO EM MARIANA - ACORDO JUDICIAL DE REPARACAO INTEGRAL E DEFINITIVA;80;RECURSOS DO ACORDO DE REPACTUACAO DO RIO DOCE;0;740335000
2025;Abril;9999;EMG - ADMINISTRACAO DIRETA;1321.01.0.1.01.000;REMUNERACAO DEPOSITOS BANCARIOS - PRINC.;80;RECURSOS DO ACORDO DE REPACTUACAO DO RIO DOCE;0;0
2025;Agosto;9999;EMG - ADMINISTRACAO DIRETA;1321.01.0.1.01.000;REMUNERACAO DEPOSITOS BANCARIOS - PRINC.;80;RECURSOS DO ACORDO DE REPACTUACAO DO RIO DOCE;0;0
2025;Dezembro;9999;EMG - ADMINISTRACAO DIRETA;1321.01.0.1.01.000;REMUNERACAO DEPOSITOS BANCARIOS - PRINC.;80;RECURSOS DO ACORDO DE REPACTUACAO DO RIO DOCE;0;0
2025;Fevereiro;9999;EMG - ADMINISTRACAO DIRETA;1321.01.0.1.01.000;REMUNERACAO DEPOSITOS BANCARIOS - PRINC.;80;RECURSOS DO ACORDO DE REPACTUACAO DO RIO DOCE;0;89000000
2025;Janeiro;9999;EMG - ADMINISTRACAO DIRETA;1321.01.0.1.01.000;REMUNERACAO DEPOSITOS BANCARIOS - PRINC.;80;RECURSOS DO ACORDO DE REPACTUACAO DO RIO DOCE;0;0
2025;Janeiro;9999;EMG - ADMINISTRACAO DIRETA;2999.99.0.1.04.000;DEMAIS REC. CAPITAL - PRINC. - ROMPIMENTO DA BARRAGEM DE FUNDAO EM MARIANA - ACORDO JUDICIAL DE REPARACAO INTEGRAL E DEFINITIVA;80;RECURSOS DO ACORDO DE REPACTUACAO DO RIO DOCE;809526379;809526379
2025;Julho;9999;EMG - ADMINISTRACAO DIRETA;1321.01.0.1.01.000;REMUNERACAO DEPOSITOS BANCARIOS - PRINC.;80;RECURSOS DO ACORDO DE REPACTUACAO DO RIO DOCE;0;0
2025;Junho;9999;EMG - ADMINISTRACAO DIRETA;1321.01.0.1.01.000;REMUNERACAO DEPOSITOS BANCARIOS - PRINC.;80;RECURSOS DO ACORDO DE REPACTUACAO DO RIO DOCE;0;0
